At,Trembling aspen,Populus tremuloides,,,,,Central Island BC,,BG,Bunchgrass,,Visuals,,Dispersed cut,,Prescription,,Coho salmon,,Grapple equipment ,,,,,Tent caterpillar,CWHxm,,,Cariboo Plateau - Quesnel Highland,,Burns Lake Community Forest,,,
Acb,Balsam poplar,Populus balsmifera,,,,,Central AB,,,,,Wood quality,,Group reserves,,Discussion paper,,Grizzly bear,,Ripper plow,,,,,Large aspen tortrix,"CWHxm1,2",,,Cariboo - Quesnel,,Canada Wildfire,,,
Bl,Subalpine fir,Abies lasiocarpa,,,,,West Central AB,,,,,,,Group retention,,Field photos,,Steelhead trout,,Disc trencher,,,,,Aspen leaf miner,ESSFdc,,,Cariboo - Vanderhoof,,Canadian Institute of Forestry,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ESSFdc1,,,,,,,,
Act,Black cottonwood,Populus trichocarpa,,,,,Northwest AB,,,,,,,Patch retention,,,,Cutthroat trout,,Mechanical raking machine,,,,,Aspen leaf beetle,ESSFdc2,,,Cariboo - Burns Lake,,Centre for Boreal Research,,,
,,,,,,,,,,,,,,,,,,Herring,,Mounder,,,,,,ESSFdcp,,,Cariboo - Fraser Canyon,,Chu Cho Environmental ,,,
,,,,,,,,,,,,,,,,,,Sand lance,,Scarifier,,,,,,ESSFdh1,,,Cariboo - Fraser Canyon - Boston Bar First Nation ,,Clayoquot Sound Scientific Panel,,,
Py,Ponderosa pine,Pinus ponderosa,,,,,Northern AB,,,,,,,Dispersed reserves,,,,Elk,,Feller-buncher,,,,,Poplar borer,ESSFdk,,,Cariboo - Fraser Plateau,,Climate Change Response Framework,,,
Lw,Western larch,Larix occidentalis,,,,,Southeast AB,,,,,,,Dispersed retention,,,,Blacktail deer,,Skidder,,,,,Drought,ESSFdmp,,,Cariboo - Knife Creek,,Coastal Douglas-fir Conservation Partnership,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ESSFdcw,,,,,,,,
,,,,,,,Southwest AB,,,,,,,,,,,Northern bobwhite,,,,,,,,ESSFdv,,,Vancouver Island - Comox Valley,,Coastal Silviculture Committee,,,
Jr,Rocky mountain juniper,Juniperus scopulorum,,,,,,,,,,,,Mixed reserves,,,,Small mammals,,,,,,,Flooding,ESSFmm,,,Vancouver Island - Cowichan Valley,,College of Applied Biologists,,,
Se,Engelmann spruce,Picea engelmannii,,,,,,,,,,,,Mixed retention,,,,Sitka blacktail deer,,,,,,,Mass wasting,ESSFmm1,,,Vancouver Island - Gold River,,College of New Caledonia,,,
Hm,Mountain hemlock,Tsuga mertensiana,,,,,,,,,,,,,,,,Squirrel,,,,,,,Western pine beetle,ESSFmc,,,Vancouver Island - Shawnigan Lake,,Cortex Resource Management ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ESSFmw,,,,,,,,
Pw,Western white pine,Pinus monticola,,,,,,,,,,,,,,,,Bats,,,,,,,Insect,ESSFvc,,,Vancouver Island - Sayward,,E.A. Strimbold,,,
EP,Paper birch,Betula papyrifera,,,,,,,,,,,,,,,,Bighorn sheep,,,,,,,Pathogen,ESSFvcw,,,Vancouver Island - Thelwood River Valley,,First Nations Forestry Council,,,
Sx,Hybrid spruce,Picea glauca x sitchensis,,,,,,,,,,,,,,,,Beaver,,,,,,,Terminal weevil,ESSFwc2,,,Vancouver Island - Woss,,FORCORP Solutions,,,
Sx,Interior spruce,Picea engelmannii x glauca,,,,,,,,,,,,,,,,Goshawk,,,,,,,Douglas fir beetle,"ESSFwc2,3",,,Vancouver Island - Port McNeill,,Forest Enhancement Society of BC,,,
Yc,Yellow cedar,Cupressus nootkatensis,,,,,,,,,,,,,,,,Deer mouse,,,,,,,Stem cankers,ESSFwc3,,,Vancouver Island - Alberni Valley,,Forest Genetics Council of BC,,,
Dg,Sitka Alder,Alnus viridis ssp. sinuata,,,,,,,,,,,,,,,,White-tailed deer,,,,,,,,ESSFwc4,,,Vancouver Island - Coombs,,Forest Products Association Canada,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ESSFwh3,,,Vancouver Island - Ucluelet,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dg,Green Alder,Alnus viridis,,,,,,,,,,,,,,,,Grouse,,,,,,,,ESSFwk1,,,Vancouver Island,,Forest Professionals British Columbia (FPBC),,,
,Balsam fir,Abies balsamea,,,,,,,,,,,,,,,,Woodpecker,,,,,,,Heart and butt rot,ESSFwk2,,,Clayoquot Sound,,Forest Research Extension Partnership (FORREX),,,
Pj,Jack pine,Pinus banksiana,,,,,,,,,,,,,,,,Songbirds,,,,,,,,ESSFm1,,,Skeena - Kispiox,,Forest Stewardship Council - Canada,,,
Pa,Whitebark pine,Pinus albicaulis,,,,,,,,,,,,,,,,Yellow-rumped warbler,,,,,,,,ESSFm2,,,Skeena - Terrace,,Forestry Together,,,
,,,,,,,,,,,,,,,,,,Dark-eyed junco,,,,,,,Venturia blight,ESSFmv2,,,Campbell River,,FORSITE Forest Management Specialists,,,
,,,,,,,,,,,,,,,,,,Golden crowned kinglet,,,,,,,,ESSFwm,,,Skeena,,FPInnovations - Forest Engineering Research Institute of Canada ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ESSFwm3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ESSFwmw,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ESSFwmp,,,,,,,,
,,,,,,,,,,,,,,,,,,Brown creeper,,,,,,,,ESSFwv,,,Kootenays - Salmo,,Free to Grow in Forestry,,,
,,,,,,,,,,,,,,,,,,Meadow vole,,,,,,,Satin moth,SBPSdc,,,Kootenays - Golden,,FRI Research,,,
,,,,,,,,,,,,,,,,,,Shrew,,,,,,,Spruce leader wevil,"SBPSdw1,2",,,Kootenays - Nakusp,,Indigenous Leadership Initiative,,,
,,,,,,,,,,,,,,,,,,Fisher,,,,,,,Spruce gall aphid,SBPSmc,,,Kootenays - Cranbrook ,,Industrial Forestry Service Ltd.,,,
,,,,,,,,,,,,,,,,,,Chinook salmon,,,,,,,Roundheaded pine beetle,SBPSmh,,,Kootenays - Nelson,,Interior Broadleaf Working Group,,,
,,,,,,,,,,,,,,,,,,Rainbow trout,,,,,,,Ants,SBPSmk,,,Kootenays - Castlegar,,Interior Logging Association,,,
,,,,,,,,,,,,,,,,,,Dolly varden,,,,,,,,SBPSmk1,,,Kootenays - Kootenay Lake,,International Association of Wildland Fire,,,
,,,,,,,,,,,,,,,,,,Mountain whitefish,,,,,,,Gypsy moth,SBPSmw,,,Kootenays - Columbia,,Kutenai Nature Investigations Ltd,,,
,,,,,,,,,,,,,,,,,,White sturgeon,,,,,,,Rodents,SBPSwk,,,Kootenays - Elk River Valley,,Laval University ,,,
,,,,,,,,,,,,,,,,,,Burbot,,,,,,,Avalanche,SBPSxc,,,Haida Gwaii ,,LM Forest Resource Solution Ltd,,,
,,,,,,,,,,,,,,,,,,Gastropod,,,,,,,White pine weevil,MSdc,,,Kootenays,,M.J. Milne & Associates Ltd,,,
,,,,,,,,,,,,,,,,,,Salamander,,,,,,,Spruce weevil,MSdk,,,Rocky Mountains,,Natural Resources Canada,,,
,,,,,,,,,,,,,,,,,,Wolf,,,,,,,,MSdk1,,,Robson Valley - McBride,,North Island Woodlot Association,,,
,,,,,,,,,,,,,,,,,,Cougar,,,,,,,Root disease,MSdm,,,Fort Nelson,,Northern Silviculture Committee,,,
,,,,,,,,,,,,,,,,,,Vancouver Island wolverine,,,,,,,Snow press,MSdm1,,,Okanagan,,NurseryToForest Solutions,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MSdm2,,,,,,,,
,,,,,,,,,,,,,,,,,,Otter,,,,,,,Hard pine stem rusts,MSdv,,,Okanagan - Kamloops,,Oregon State University,,,
,,,,,,,,,,,,,,,,,,Ermine,,,,,,,Blister rust,MSxv,,,Okanagan - Kelowna,,Prescribed Fire Training Exchange,,,
,,,,,,,,,,,,,,,,,,Mink,,,,,,,Eastern spruce budworm,MSxv1,,,Okanagan - Penticton,,Private Forest Landowners Association,,,
,,,,,,,,,,,,,,,,,,Raccoon,,,,,,,Pine needlecast,MSxk,,,Prince Rupert,,R.W. Gray Consulting Ltd.,,,
,,,,,,,,,,,,,,,,,,Blue grouse,,,,,,,Western gall rust,IDFdk,,,Sunshine Coast - Sechelt,,Raincoast Conservation Foundation,,,
,,,,,,,,,,,,,,,,,,Spotted sandpiper,,,,,,,Decay fungi,IDFdk1,,,Sunshine Coast - Powell River,,Silviculture Innovation Program,,,
,,,,,,,,,,,,,,,,,,Mew gull,,,,,,,Red squirrel,IDFdk2,,,Sunshine coast - Roberts Creek,,Simon Fraser University,,,
,,,,,,,,,,,,,,,,,,Winter wren,,,,,,,Larch casebearer,IDFdk3,,,Sunshine Coast,,Society for Ecosystem Restoration in Northern British Columbia (SERNbc),,,
,,,,,,,,,,,,,,,,,,Cattle,,,,,,,,IDFdk4,,,Fort St. James,,Southern Interior Silviculture Committee,,,
,,,,,,,,,,,,,,,,,,Sharp-tail grouse,,,,,,,,"IDFdk3,4",,,Maple Ridge,,Stillwater Consulting,,,
,,,,,,,,,,,,,,,,,,Bison,,,,,,,,IDFdm,,,Invermere,,Sustainable Forestry Initiative,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFdm1,,,Edmonton (AB),,Symmetree Consulting ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFdm2,,,Prince Albert (SK),,The Fire Chiefs' Association of BC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFdmi,,,Thompson,,Thompson Rivers University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFdw,,,Thompson - Nicola,,Truck Loggers Association,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFmw,,,Greater Vancouver,,United States Department of Agriculture (USDA) Forest Service ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFmw1,,,Bulkley,,"Univeristy of California, Berkeley",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFmw2,,,Bulkley - Smithers,,University of Alberta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFun,,,Sea-to-Sky Corridor,,University of British Columbia,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFww,,,Duncan,,"University of California, Davis",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFxh,,,Fraser Valley - Maple Ridge,,University of Northern British Columbia,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFxh1,,,Fraser Valley - Chilliwack,,University of Saskatchewan,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFxh2,,,Fraser Valley - Hope,,University of Victoria,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFxm,,,Sitkine Country,,University of Washington,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,IDFxw,,,Peace River (AB),,US Geological Survey,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBPsdc ,,,Peace River - Fort St John,,Vancouver Island University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBPsmk ,,,Whitecourt (AB),,We Are Fire,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBPsxc ,,,Calling Lake (AB),,Western Forest Products,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSdh,,,Lillooet - Pemberton Valley,,Western Forestry Contractors Association,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSdk,,,Nass,,"Weyerhaeuser, B.C. Coastal Group",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSdw,,,Chilcotin - Tatla Lake,,Wildfire Resilience Consortium of Canada,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSdw1,,,International country/region,,Wildlife Infometrics,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSdw2,,,Okanagan - Cache Creek,,Women in Wood,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSdw3,,,Similkameen,,Wonder Labs LLC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSmc,,,,,Woodlots BC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSmc2,,,,,Worleyparsons Komex,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSmc3,,,,,YourForest,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSmh,,,,,Agriculture and Agri-Food Canada,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSmk,,,,,BC Conservation Data Centre (CDC),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSmk1,,,,,BC Forest Practices Board,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSmm,,,,,BC Forest Safety,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSmw,,,,,BC Hydro Bridge-Coastal Fish and Wildlife Restoration Program,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSwk,,,,,BC Ministry of Environment and Parks,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSwk1,,,,,Canada Wildfire,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSwk2,,,,,Canadian Conservation and Land Management (CCLM),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSwk3,,,,,Canadian Council of Forest Ministers,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SBSvk,,,,,Canadian Forest Products Ltd.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CDFmm,,,,,Echo Biology and Extension,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHdk,,,,,Ecora Resource Group Ltd.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHdw,,,,,First Nations Emergency Services Society,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHdw1,,,,,Fort. St. John Pilot Project,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHdm,,,,,Institute of Terrestrial Ecosystems,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmc,,,,,Lakehead University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmc1,,,,,"Manning, Cooper and Associates ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmc2,,,,,McGill University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"ICHmc1,2",,,,,Memorial University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmk,,,,,Moore Resource Management,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmk1,,,,,Mosaic Forest Management ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"ICHmk1,2",,,,,National Council for Air and Stream Improvement (NCASI),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmk3,,,,,Northern Arizona University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmw,,,,,Ohio State University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmw1,,,,,Pacific Institute for Climate Solutions,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmw2,,,,,Polytechnic Institute of Coimbra,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"ICHmw1,2",,,,,Portland State University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmw3,,,,,Prince George Woodlot Association,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHmw4,,,,,Riverside Forest Products Limited,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHwc,,,,,Saskatchewan Research Council,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHwk,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHwk1,,,,,Shifting Mosaics Consulting,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHwk2,,,,,Steen Consulting,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHwk3,,,,,Stolo Research and Resource Management Centre,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHwk4,,,,,"Swedish University of Agricultural
Science",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHvc,,,,,The Fire Research and Management Exchange System (FRAMES),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHvk,,,,,The Wise Path Forward,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHvk1,,,,,Transition Salt Spring,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ICHxw,,,,,Université de Sherbrooke,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Wildfire Fuel Management Knowledge Base,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalesnikoff Lumber Co. Ltd.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,BWBSdk,,,,,University of Arizona,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BWBSdk1,2",,,,,"University of Colorado, Boulder",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,BWBSmw,,,,,University of Lethbridge,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,BWBSmw2,,,,,University of Minnesota,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,BWBSmk,,,,,University of Montreal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,BWBSwk,,,,,University of New Brunswick,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,BWBSwk1,,,,,University of Quebec,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MHmm1,,,,,University of Toronto,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MHwh,,,,,Unviersity of Melbourne,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PPdh,,,,,URSUS Environmental,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PPdh1,,,,,Utah State University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PPdh2,,,,,We Are Fire,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PPxh1,,,,,Wildlife Tree Committee of BC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,BGxh2,,,,,Woodlot Forestry Services Ltd.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PPxh2,,,,,Yale University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwest Fire Science Consortium,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Virginia University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Rockies Fire Science Network,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC Carbon and Climate Services,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utrecht University, Heidelberglaan",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Waterloo,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunshine Coast Community Forest,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Roads University,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harrop-Procter Community Cooperative,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fraser Basin Council,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kootenay Conservation Program,,,
